Game,Category,Description,CPU,GPU,RAM,File Size
Sid Meier’s Civilization 7,Strategy / Simulation,The award-winning strategy game franchise returns with a revolutionary new chapter. Sid Meier's Civilization® VII empowers you to build the greatest empire the world has ever known!,Intel Core i3-10100  / Ryzen 3 1200,NVIDIA GeForce GTX 1050  / Radeon RX 460,8 GB,20 GB
Sekiro: Shadows Die Twice,Action / Adventure / FPS,"Game of the Year - The Game Awards 2019 Best Action Game of 2019 - IGN Carve your own clever path to vengeance in the award winning adventure from developer FromSoftware, creators of Bloodborne and the Dark Souls series. Take Revenge. Restore Your Honor. Kill Ingeniously.",Intel Core i3-2100,NVIDIA GeForce GTX 760,4 GB,25 GB
Bodycam,Action / Strategy / Indie,"Bodycam is the first ultra-realistic multiplayer, first-person shooter game made using the latest technologies of the next-gen game engine Unreal Engine 5. Get ready to dive into fast-paced Bodycam actions, where every bullet counts and every choice can decide over the victory or loss of your team.",Intel Core i7-9700K  / Core i7-9700K,AMD Radeon RX 5700  / GeForce RTX 2070,8 GB,50 GB
Dragon's Dogma 2,Action / RPG,"Dragon’s Dogma 2 is a single player, narrative driven action-RPG that challenges the players to choose their own experience – from the appearance of their Arisen, their vocation, their party, how to approach different situations and more - in a truly immersive fantasy world.",Intel Core i5-10600  / Ryzen 5 3600,NVIDIA GeForce GTX 1070  / Radeon RX 5500 XT,16 GB,100 GB
Assassin's Creed Mirage,Action / RPG / Adventure,Become a deadly Master Assassin in this action-adventure game. Explore the streets of ninth-century Baghdad through the eyes of Basim. Take down your targets while seeking justice as part of the Hidden Ones.,AMD Ryzen 5 1600  / Core i7-4790K,AMD Radeon RX 570  / GeForce GTX 1060,8 GB,40 GB
Mortal Kombat 1,Unknown,"Discover a reborn Mortal Kombat™ Universe created by the Fire God Liu Kang. Mortal Kombat™ 1 ushers in a new era of the iconic franchise with a new fighting system, game modes, and fatalities!",Intel Core i5-6600  / Ryzen 3 3100,AMD Radeon RX 470  / GeForce GTX 980,8 GB,100 GB
Far Cry 4,Action / Adventure / FPS,"Hidden in the towering Himalayas lies Kyrat, a country steeped in tradition and violence. You are Ajay Ghale. Traveling to Kyrat to fulfill your mother’s dying wish, you find yourself caught up in a civil war to overthrow the oppressive regime of dictator Pagan Min.",Intel Core i5-750,ATI Radeon HD 5850,4 GB,30 GB
Euro Truck Simulator 2,Indie / Simulation,"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.",Intel Celeron J1800,Intel HD 4000,4 GB,3 GB
Marvel’s Spider-Man Remastered,Action / Casual / Adventure,"In Marvel’s Spider-Man Remastered, the worlds of Peter Parker and Spider-Man collide in an original action-packed story. Play as an experienced Peter Parker, fighting big crime and iconic villains in Marvel’s New York. Web-swing through vibrant neighborhoods and defeat villains with epic takedowns.",Intel Core i3-4160,NVIDIA GeForce GTX 950,8 GB,75 GB
eFootball PES 2021,Unknown,Celebrate 25 years of PES with the eFootball PES 2021 Season Update* - available at a special anniversary price!,Intel Core i5-3470,AMD Radeon HD 7870,8 GB,40 GB
Dune: Awakening,Action / RPG / Adventure,"Rise from survival to greatness and challenge the power of an Imperium in Dune: Awakening, a multiplayer survival game on a massive scale. Survive the sandworm, craft your ornithopter, build a fortress, and ascend to power on an open world Arrakis shared with hundreds of other players.",Intel Core i5-7400  / Ryzen 3 1200,NVIDIA GeForce GTX 1060  / Radeon RX 5600 XT,16 GB,60 GB
Diablo 4,Action / RPG / Adventure,"Join the fight for Sanctuary in Diablo® IV, the ultimate action RPG adventure. Experience the critically acclaimed campaign and new seasonal content.",Intel Core i5-2500K  / FX-8100,NVIDIA GeForce GTX 660  / Radeon R9 280,8 GB,90 GB
The Sims 4,Casual / Simulation,Roleplay as god controlling the entire world around you without consequences. Express your creativity by customising your sims in hundreds of different ways. Simulate your life and others. Do all this and more in Maxis EA’s Sims 4.,Intel Core 2 Duo T7600,ATI Radeon HD 2600 PRO,2 GB,20 GB
Monster Hunter: World,Action / FPS / JRPG,"Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.",Intel Core i5-4460,AMD Radeon R7 260X,8 GB,20 GB
Jurassic World Evolution 2,Strategy / Simulation,Jurassic World Evolution 2 is the much-anticipated sequel to Frontier’s highly successful Jurassic World Evolution. This bold new era in the Jurassic World Evolution game franchise builds upon the ground-breaking and immersive 2018 management simulation.,Intel Core i5-4590,NVIDIA GeForce GTX 1050 Ti,8 GB,14 GB
DayZ,Action / Adventure / MMO,"How long can you survive a post-apocalyptic world? A land overrun with an infected ""zombie"" population, where you compete with other survivors for limited resources. Will you team up with strangers and stay strong together? Or play as a lone wolf to avoid betrayal? This is DayZ – this is your story.",Intel Core i5-4430,NVIDIA GeForce GTX 760,8 GB,16 GB
Once Human,Action / Strategy / RPG,"Once Human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. Unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. Once, you were merely human. Now, you have the power to remake the world.",Intel Core i5-4460,NVIDIA GeForce GTX 750 Ti,8 GB,50 GB
FiveM,Unknown,"Building upon years of development on the Cfx.re framework, which has existed in various forms since 2014, FiveM is the original community-driven and source-available GTA V multiplayer modification project.",Intel Core 2 Quad Q6600  / Phenom 9850,NVIDIA GeForce 9800 GT  / Radeon HD 4870 X2,8 GB,76 GB
HITMAN World of Assassination,Action / Adventure,"Enter the world of the ultimate assassin. HITMAN World of Assassination delivers the definitive stealth action experience, putting you in the shoes of Agent 47, a master assassin. Explore immersive locations, uncover hidden secrets, and eliminate targets with complete freedom of approach.",Intel Core i5-2500K,AMD Radeon HD 7870,8 GB,60 GB
ARK: Survival Evolved,Action / RPG / Indie,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!",Intel Core i5-2400,AMD Radeon HD 7870,8 GB,60 GB
Assetto Corsa,Racing / Sports / Indie,"Assetto Corsa v1.16 introduces the new ""Laguna Seca"" laser-scanned track, 7 new cars among which the eagerly awaited Alfa Romeo Giulia Quadrifoglio! Check the changelog for further info!",Intel Core 2 Duo U7500,NVIDIA GeForce GTX 460,2 GB,15 GB
TEKKEN 8,Unknown,"TEKKEN 8 is the latest addition to the TEKKEN series, the pinnacle of 3D fighting games. Join the fight with over 32 characters and bear witness to the next installment in this epic saga. Get ready for the biggest and best TEKKEN game ever made!",Intel Core i5-6600K  / Ryzen 5 1600,NVIDIA GeForce GTX 1050 Ti  / Radeon R9 380X,8 GB,100 GB
Forza Horizon 3,Unknown,"You’re in charge of the Horizon Festival. Customize everything, hire and fire your friends, and explore Australia in over 350 of the world’s greatest cars. Make your Horizon the ultimate celebration of cars, music, and freedom of the open road. How you get there is up to you.",Intel Core i5-3570,NVIDIA GeForce GTX 750 Ti,8 GB,55 GB
DOOM: The Dark Ages,Unknown,"DOOM: The Dark Ages is the prequel to the critically acclaimed DOOM (2016) and DOOM Eternal that tells an epic cinematic story worthy of the DOOM Slayer’s legend. Players will step into the blood-stained boots of the DOOM Slayer, in this never-before-seen dark and sinister medieval war against Hell.",Intel Core i7-10700K  / Ryzen 7 3700X,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 6600,16 GB,100 GB
Need for Speed Heat,Action / Casual / Racing,"Hustle by day and risk it all at night in Need for Speed™ Heat Deluxe Edition, a white-knuckle street racer, where the lines of the law fade as the sun starts to set.",AMD FX-6350,NVIDIA GeForce GTX 760,8 GB,50 GB
Indiana Jones and the Great Circle,Action / Adventure,"Uncover one of history’s greatest mysteries in a first-person, single-player adventure. The year is 1937, sinister forces are scouring the globe for the secret to an ancient power connected to the Great Circle, and only one person can stop them - Indiana Jones™.",Intel Core i7-10700K  / Ryzen 5 3600,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 6600,16 GB,120 GB
Microsoft Flight Simulator 2020,Simulation / Early Access / Rogue-like,"From gliders and helicopters to wide-body jets, fly highly detailed and accurate aircraft in the Microsoft Flight Simulator 40th Anniversary Edition. The world is at your fingertips.",Intel Core i5-4460,AMD Radeon RX 570,8 GB,150 GB
THE FINALS,Action / Free to Play,"Join THE FINALS, the world-famous, free-to-play, combat-centered game show! Fight alongside your teammates in virtual arenas that you can alter, exploit, and even destroy. Build your own playstyle in this first-person shooter to win escalating tournaments and lasting fame.",Intel Core i5-6600K,NVIDIA GeForce GTX 960,12 GB,15 GB
Lethal Company,Action / Indie / Adventure,A co-op horror about scavenging at abandoned moons to sell scrap to the Company.,Intel Core i5-7400,NVIDIA GeForce GTX 1050,4 GB,1 GB
Far Cry 5,Action / Adventure / FPS,"Discover the open world of Hope County, Montana, besieged by a fanatical doomsday cult. Dive into the action solo or two-player co-op in the story campaign, use a vast arsenal of weapons and allies, and free Hope County from Joseph Seed and his cult.",AMD FX-6300,NVIDIA GeForce GTX 670,8 GB,40 GB
Batman: Arkham Knight,Action / Adventure / FPS,"Batman™: Arkham Knight brings the award-winning Arkham trilogy from Rocksteady Studios to its epic conclusion. Developed exclusively for New-Gen platforms, Batman: Arkham Knight introduces Rocksteady's uniquely designed version of the Batmobile.",Intel Core i5-750,AMD Radeon HD 7870,6 GB,45 GB
Half-Life: Alyx,Action / Adventure / FPS,"Half-Life: Alyx is Valve’s VR return to the Half-Life series. It’s the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity’s only chance for survival.",Intel Core i5-7500,NVIDIA GeForce GTX 1060,12 GB,67 GB
Roblox,MMO / Free to Play / Game Development,"Roblox is an online platform full of games made by users. You can play, create, and explore different worlds on your phone, tablet, or computer. Chat with friends, try new games every day, and even make your own to share with others.",Intel Celeron D 430,AMD Radeon 9500,1 GB,1 GB
Escape From Tarkov,Action / Violent,Escape from Tarkov is a hardcore and realistic online first-person action RPG/Simulator with MMO features and a story-driven walkthrough.,Intel Core i3-530  / Phenom II X4 955,NVIDIA GeForce GTX 950  / Radeon R9 270X,8 GB,19 GB
Destiny 2,Action / Adventure / Free to Play,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.",AMD FX-4350  / Core i3-3250,AMD Radeon HD 7850  / GeForce GTX 660,6 GB,105 GB
Manor Lords,Strategy / Simulation / Early Access,"Manor Lords is a medieval strategy game featuring in-depth city building, large-scale tactical battles, and complex economic and social simulations. Rule your lands as a medieval lord – the seasons pass, the weather changes, and cities rise and fall.",Intel Core i5-4670  / FX-4350,NVIDIA GeForce GTX 1050  / Radeon RX 460,8 GB,16 GB
The Forest,Action / Indie / Adventure,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.",Intel Core 2 Duo T7700,NVIDIA GeForce 8800 GT,4 GB,5 GB
Mount & Blade II: Bannerlord,Action / Strategy / RPG,"A strategy/action RPG. Create a character, engage in diplomacy, craft, trade and conquer new lands in a vast medieval sandbox. Raise armies to lead into battle and command and fight alongside your troops in massive real-time battles using a deep but intuitive skill-based combat system.",Intel Core i3-8100,AMD Radeon HD 7850,6 GB,60 GB
A Way Out,Action / Indie / Adventure,A Way Out is an exclusively co-op adventure where you play the role of one of two prisoners making their daring escape from prison.,Intel Core i3-2100T,AMD Radeon HD 7750,8 GB,25 GB
Overwatch 2,Action / MMO / Free to Play,"Overwatch 2 is a critically acclaimed, team-based shooter game set in an optimistic future with an evolving roster of heroes. Team up with friends and jump in today.",Intel Core i3-530  / Phenom 8650,NVIDIA GeForce GTX 650  / Radeon HD 7350,6 GB,50 GB
Farming Simulator 25,Unknown,"Farming Simulator 25 invites you to join the rewarding farm life, single-handedly or cooperatively in multiplayer. This Farm is Your Farm!",Intel Core i5-6400  / Ryzen 5 1400,NVIDIA GeForce GTX 1050 Ti  / Radeon RX 470,8 GB,45 GB
Satisfactory,Strategy / Indie / Adventure,"An FPS open-world factory building sim. You play as an engineer on an alien planet as part of the ‘Save The Day’ program - a program whose goal is to construct a massive machine for a mysterious purpose. Conquer nature, build multi-story factories, and automate to satisfaction!",Intel Core i5-3570,NVIDIA GeForce GTX 1650,8 GB,15 GB
